base	rate	period start	period end	fee
0,00	3,00	17/02/2021	14/10/2021	0,00
4587,00	1,80	13/07/2021	19/08/2021	8,37
470,00	3,00	05/09/2021	23/11/2021	3,05
9347,00	0,30	20/05/2021	13/09/2021	8,91
8310,00	0,60	13/01/2021	31/01/2021	2,46
5297,00	1,50	02/09/2021	02/09/2021	0,00
3834,00	2,10	25/01/2021	15/06/2021	31,10
6868,00	1,20	03/08/2021	20/12/2021	31,39
8462,00	0,60	11/07/2021	26/07/2021	2,09
6539,00	1,20	01/06/2021	28/10/2021	32,03
9103,00	0,30	05/10/2021	27/10/2021	1,65
475,00	3,00	25/09/2021	26/10/2021	1,21
6326,00	1,20	03/10/2021	30/12/2021	18,30
3653,00	2,10	31/03/2021	26/12/2021	56,75
7227,00	0,90	02/10/2021	29/11/2021	10,34
727,00	3,00	18/08/2021	15/12/2021	7,11
2727,00	2,40	08/06/2021	12/11/2021	28,15
4777,00	1,80	28/03/2021	12/06/2021	17,90
3593,00	2,10	02/03/2021	27/07/2021	30,39
8977,00	0,60	27/11/2021	29/11/2021	0,30
9047,00	0,30	03/07/2021	04/10/2021	6,92
3190,00	2,10	26/12/2021	28/12/2021	0,37
2661,00	2,40	03/02/2021	13/12/2021	54,77
737,00	3,00	02/07/2021	09/09/2021	4,18
2771,00	2,40	29/11/2021	15/12/2021	2,92
4644,00	1,80	09/12/2021	10/12/2021	0,23
7615,00	0,90	08/10/2021	16/12/2021	12,96
1254,00	2,70	06/01/2021	10/09/2021	22,91
8682,00	0,60	18/08/2021	25/11/2021	14,13
7254,00	0,90	30/12/2021	30/12/2021	0,00
2332,00	2,40	22/04/2021	19/07/2021	13,49
5133,00	1,50	04/08/2021	08/12/2021	26,58
4121,00	1,80	03/11/2021	18/11/2021	3,05
4154,00	1,80	15/07/2021	02/10/2021	16,18
2872,00	2,40	06/03/2021	21/04/2021	8,69
5717,00	1,50	20/10/2021	22/10/2021	0,47
5344,00	1,50	01/07/2021	22/12/2021	38,21
7483,00	0,90	21/07/2021	13/12/2021	26,75
6248,00	1,20	03/11/2021	12/11/2021	1,85
2128,00	2,40	18/09/2021	01/10/2021	1,82
910,00	3,00	10/04/2021	10/04/2021	0,00
4143,00	1,80	10/01/2021	18/09/2021	51,28
9379,00	0,30	29/03/2021	18/05/2021	3,85
3175,00	2,10	19/11/2021	16/12/2021	4,93
1503,00	2,70	06/09/2021	20/10/2021	4,89
3877,00	2,10	01/07/2021	27/07/2021	5,80
5872,00	1,50	04/11/2021	07/12/2021	7,96
9554,00	0,30	22/07/2021	15/08/2021	1,88
9833,00	0,30	29/05/2021	28/06/2021	2,42
5649,00	1,50	02/04/2021	13/08/2021	30,88
4640,00	1,80	16/12/2021	17/12/2021	0,23
1998,00	2,70	27/04/2021	30/09/2021	23,06
1267,00	2,70	26/08/2021	12/11/2021	7,31
8031,00	0,60	01/04/2021	09/08/2021	17,16
3893,00	2,10	15/03/2021	23/03/2021	1,79
9017,00	0,30	05/06/2021	04/07/2021	2,15
9475,00	0,30	30/05/2021	27/06/2021	2,18
8856,00	0,60	03/02/2021	28/03/2021	7,72
711,00	3,00	13/05/2021	10/07/2021	3,39
1351,00	2,70	13/10/2021	17/11/2021	3,50
3495,00	2,10	14/06/2021	22/11/2021	32,37
9317,00	0,30	26/08/2021	22/09/2021	2,07
6796,00	1,20	27/11/2021	05/12/2021	1,79
8609,00	0,60	21/06/2021	26/09/2021	13,73
6004,00	1,20	25/10/2021	14/12/2021	9,87
4622,00	1,80	13/12/2021	24/12/2021	2,51
4393,00	1,80	28/10/2021	11/12/2021	9,53
7022,00	0,90	26/12/2021	30/12/2021	0,69
8513,00	0,60	16/04/2021	02/09/2021	19,45
5144,00	1,50	07/02/2021	22/06/2021	28,54
5767,00	1,50	16/11/2021	05/12/2021	4,50
7297,00	0,90	13/11/2021	17/12/2021	6,12
8007,00	0,60	15/09/2021	03/12/2021	10,40
191,00	3,00	19/11/2021	11/12/2021	0,35
4633,00	1,80	24/01/2021	24/09/2021	55,52
4889,00	1,80	01/09/2021	22/11/2021	19,77
1996,00	2,70	30/11/2021	26/12/2021	3,84
8900,00	0,60	17/07/2021	09/08/2021	3,36
4503,00	1,80	27/12/2021	27/12/2021	0,00
4460,00	1,80	25/04/2021	31/08/2021	28,15
8815,00	0,60	10/06/2021	13/09/2021	13,77
8066,00	0,60	13/05/2021	01/07/2021	6,50
9991,00	0,30	25/02/2021	07/09/2021	15,93
6164,00	1,20	01/01/2021	01/01/2021	0,00
7734,00	0,90	22/09/2021	23/10/2021	5,91
4177,00	1,80	06/09/2021	23/11/2021	16,07
2053,00	2,40	01/11/2021	13/12/2021	5,67
8287,00	0,60	04/02/2021	02/03/2021	3,54
7640,00	0,90	18/08/2021	15/09/2021	5,27
2135,00	2,40	30/01/2021	09/06/2021	18,25
9522,00	0,30	11/12/2021	18/12/2021	0,55
2692,00	2,40	09/09/2021	11/10/2021	5,66
7769,00	0,90	13/10/2021	15/11/2021	6,32
2822,00	2,40	12/03/2021	15/03/2021	0,56
1918,00	2,70	24/12/2021	25/12/2021	0,14
8197,00	0,60	19/02/2021	24/06/2021	16,84
6010,00	1,20	06/03/2021	09/11/2021	49,00
1577,00	2,70	26/12/2021	27/12/2021	0,12
2336,00	2,40	06/02/2021	18/04/2021	10,91
6347,00	1,20	11/09/2021	08/12/2021	18,36
